"|","|__-","|__id","|__ratings","|__total","|__category__1____001","|__category__2____-","|__category__1____002","|__category__1____003","|__category__1____004","|__category__1","|__category__2","|__category__3","|__category__4","|__category__5","|__category__6","|__category__7","|__category__8","|__category__9","|__category__10","|__category__11","|__category__12","|__category__13","|__category__14","|__category__15","|__category__16","|__category__17","|__category__18","|__category__19","|__category__20","|__category__21","|__category__22","|__category__23","|__category__24","|__category__25","|__category__26","|__category__27","|__category__28","|__category__29","|__category__30","|__category__31","|__category__32","|__category__33","|__category__34","|__category__35","|__category__36","|__category__37","|__category__38","|__category__39","|__category__40","|__category__41","|__category__42","|__category__43","|__category__44","|__category__45","|__category__46","|__category__47","|__category__48","|__category__49","|__category__50","|__category__51","|__category__52","|__category__53","|__category__54","|__category__55","|__category__56","|__category__57","|__category__58","|__category__59","|__category__60","|__category__61","|__category__62","|__category__63","|__category__64","|__category__65","|__category__66","|__category__67","|__category__68"
"WELCOME TO SUPER MARIO ODYSSEY","","Y8YQbbrj8JY","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Top 24 Dragon Ball Video Games | 4 | DBCember 2017 | Team Four Star","","olsPUjFwRMU","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I got exposed for faking my gameplays","","oxa5BTxk2Io","1","100","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyre Original Soundtrack - Full Album","","uH3Aoj1nw58","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ON OUVRE VOS SNAPCHAT !","","S9cAofhiPlk","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan vs Sri Lanka 2017 | 2nd T20 | Highlights | HD","","1c8rUsh7HLY","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Top 10 Episodes of Community","","32pY1iuDUpQ","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hearthstone: Summoning Stone and Deck of Wonders Working Together","","C6cy2w3NLSk","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ace Combat gameplay  HD Argentina","","Ke3gYW5BcHQ","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JE VOEUX BENZEMA !! - Pack Opening FIFA18","","LvUt43O1vi0","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Let's Play Sleeping Dogs: Episode 24","","34dTOxRo7fM","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Markiplier Animated | ATTACK ON TITAN","","7hnh9m665Zw","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUTO HOMME : Teindre sa barbe avec colorations classiques pour un effet naturel","","JLixmGYxa_s","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Touch - Mind Field (Ep 6)","","OUdXMoY6fLY","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Famous Dex- Japan 1 Hour Loop","","Pnzj4lYNnWs","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TECHNOTRIS Arrange","","bQyuKbB5KUI","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Venice The Series_S1_E11_BTS.","","5frcZqSLKUE","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tornado Siren?! Cat Reacts to Emergency Warning Alert System!","","KlcJs3ogHoE","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ryzen 3 2200G APU vs GT 1030 Gaming Benchmarks","","RXGjBDVuelM","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Baby Learn Colors with Little Panda Color Mixing Fun - Baby Panda Kids games","","mRB_zBgmbDs","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fabriquer une machine a rouler pour cigarettes - Démonstration","","rnuNyQX9Rsk","1","25","c_badthings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Linus's First Video on NCIX Tech Tips","","z94RY7cyOnM","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"he groove","","Bjt7mDVCLtk","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Elena of Avalor Season 1 Episode 8 Royal Retreat   Part 01","","EFNViv6wkEg","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"This Video Will Kill Your iPhone","","Ms2ai5oZ8Js","1","100","c_violence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuto :réaliser une vidéo simple et efficace avec Gimp et Openshot","","hEqkJW5xdJE","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Je mise ENCORE tout mes skins csgo..","","hV3xzUL9FXU","1","100","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dégustation McDonald's en Couple ! TOUT LES BURGERS ! BIG MAC, CHEESE BURGER , Mc FLURRY !","","2t5OpStD5Gc","1","50","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buttercup says No, M. Bison Yes!","","5_F6BhAAbvo","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gmod 45 MM High caliber AA cannon WIP","","P7qkYq-7KzM","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resumen de la Pelea de Lucas Matthysse vs Ruslan Provodnikov Fight Highlights","","ThnU09tTeK8","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nike ID Battle! Kobe 11!","","DOIA36oge5g","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile Legends WTF Moments Episode 72","","Ph7w74NM1LQ","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"So, I got bored and made an easy PP farm map...","","KqPjKKigJy8","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pelicula De Terror 2017 ( Tiburones Terrible )","","L0IaHrxMbqQ","1","100","c_violence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dealing With The Devil (Cuphead Animation)","","d27BP_GWRto","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Super Mario Brothers - Frustration","","in6RZzdGki8","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angry German Kid Misheard (English)","","qJ7uOh7DQ8g","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ThinkPoint / Fake MSE Removal Guide","","ur0-OwmMEYs","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nvidia GTX 1080 Performance Review - The New King","","2-61Zn4Sb8Q","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"People crying, leaving Clinton headquarters","","6DRyGZbSZUM","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UN PLUGIN HIKABRAIN EN SEULEMENT 35 MIN  !! - SPEED CODING","","Is7_mkD2oYc","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"How to Install Android 7.0 Nougat On Any Android D","","Ptj9qyok1qI","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNET VA DISPARAITRE","","T0FtleP10II","1","50","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carl Orff - Ecce Gratum (Team Fortress 1 Version)","","RTjzEAd_Ubc","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SERVER BESITZER will 349€ VON MIR ERPRESSEN! - Minecraft Undercover","","6_KLKNwXyNA","1","100","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New 'Perfect' Battery: BUSTED","","8RbwOhM6PUk","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wilson Combat Gunsmithing - Flare/Fair The Ejection Port","","Um2SS13Ox3E","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Teaching My Little Sister How To Trade Stocks Like A Pro | Penny Stock Investor","","AxRTT2gVLC0","2","50","","","","","","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INNA - Take Me Down to Mexico  | Exclusive Online Video","","hvkecTpgaKA","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feliz Navidad","","m4pa_4oNAnU","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destroying the Droid Command Ship - Star Wars Battlefront 2 Starfighter Assault","","pO2qcC929Kk","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moult, Eggsac, BTS Journal And Geekbox Unboxing","","rS23FIFRODU","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HOW TO LIVE INSIDE A SHEEP IN MINECRAFT!","","tFOuWmm8yec","1","100","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Petralex iOS Video Guide","","VXNTdXo8q2c","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Muslims Cut Open Babies Heads For Religious Ceremony","","x29lSoetdyo","1","100","c_violence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cooles DIY mit Chipsverpackung☺","","WF6STq1GmHo","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bernard Manning v Esther Rantzen","","0efKLMZmHVs","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DarksydePhil | FGC HISTORY","","5UuKjvr34Qs","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventures in Boy Scouts Part 1","","CAD-iy2KyXA","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dance of Sadness - Fight vs. Sisters - Castlevania: Portrait of Ruin","","K9vyAnVxUeU","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Modded Minecraft | Project Ozone 2 Reborn | Ep 01 || Iskall's Heroes Unite!","","6gHqJzkFrho","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paramore - Ignorance [Acoustic] (Brand New Eyes Deluxe Edition)","","fGsjiZifTPQ","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Top Hardstyle  Hits 2018","","CSD1thFFM10","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Whose Line is it Anyway — Best of moments Colin Mochrie Part 7","","Ni6JrFKOnaE","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A Lesson On  Intimidation From Mike Tyson.mpg","","S9MtJ164XJI","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FutureBob 3000-Pants","","lzdNmj6ODgY","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P. T. Barnum’s 10 Most Famous Human “Freak” Show Attractions","","x3GvCQJVQfs","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"What Does Frostbite Do To Your Body?","","xCKg8qPOSYg","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Main Albeli - Zubeidaa | Karsima Kapoor | A.R. Rahman","","mQQAuPNOQn8","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50 Ways to Expire in Minecraft - Christmas Edition","","p9Z8OjDW3AQ","1","50","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LA VIRGEN DE LA MACARENA - Banda de la Monumental Plaza México","","sr53o-wbaAw","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Me in a nutshell","","1MjzY4ATRos","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mr Steele rips the Cougar!!","","6NomxWiGsFQ","1","50","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fortnite - Take The L Emote (Beat)","","PbO5xjpDvqw","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pancake Art - Kaichuu Monika (Doki Doki Literature Club)","","B2_ajfTUY7U","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sonic Boom Episode 24 HD","","IXgX9DIAlTw","1","0","c_art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jarobeteg_rendelo_2009_szept_23_To_TV.wmv","","BqccRY69uI0","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pawn Stars: Seller Fumes Over Flintlock Pistol Reproduction (Season 1) | History","","CN3wstLt0Mc","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"r/oldpeoplefacebook Top Posts","","RnK5RaCOU4U","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pac-Man 2: The New Adventures - AntDude","","b8XfPeVsD6w","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Somebody Toucha My Spaghett Full but it's on Guitar Hero","","K-e0ArgBzTQ","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Muskan ghunghru dance","","hEdXcFJdfWM","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEW FORTNITE UPDATE OUT NOW! NEW GIFTING SYSTEM IN FORTNITE! (FORTNITE BATTLE ROYALE)","","NG3DaLsh6Iw","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPKEEP SECRETLY BEING REMOVED FROM MAGIC: THE GATHERING?","","kAdHHGAuqD0","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Why I Don’t Use A Smart Phone | Ann Makosinski | TEDxTeen","","TjaM0tdxtYA","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALL WHITE CELEBRITY COOK OUT","","v-ZADcD2vaU","1","25","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Pixel 2 - A Long Term User Review","","vPf9xlRjau0","1","0","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
